district_gadm,state_gadm,year,q,quarter,quarter_num,flood_exposure_ruleA_qt,flood_exposure_ruleB_qt,deposits
Nicobar Islands,Andaman and Nicobar,2015,1,2015Q1,1,0,0,
Nicobar Islands,Andaman and Nicobar,2015,2,2015Q2,2,0,0,
Nicobar Islands,Andaman and Nicobar,2015,3,2015Q3,3,0,0,
Nicobar Islands,Andaman and Nicobar,2015,4,2015Q4,4,0,0,
Nicobar Islands,Andaman and Nicobar,2016,1,2016Q1,5,0,0,
Nicobar Islands,Andaman and Nicobar,2016,2,2016Q2,6,0,0,
Nicobar Islands,Andaman and Nicobar,2016,3,2016Q3,7,0,0,
Nicobar Islands,Andaman and Nicobar,2016,4,2016Q4,8,0,0,
Nicobar Islands,Andaman and Nicobar,2017,1,2017Q1,9,0,0,
Nicobar Islands,Andaman and Nicobar,2017,2,2017Q2,10,0,0,
Nicobar Islands,Andaman and Nicobar,2017,3,2017Q3,11,0,0,
Nicobar Islands,Andaman and Nicobar,2017,4,2017Q4,12,0,0,
Nicobar Islands,Andaman and Nicobar,2018,1,2018Q1,13,0,0,
Nicobar Islands,Andaman and Nicobar,2018,2,2018Q2,14,0,0,
Nicobar Islands,Andaman and Nicobar,2018,3,2018Q3,15,0,0,
Nicobar Islands,Andaman and Nicobar,2018,4,2018Q4,16,0,0,
Nicobar Islands,Andaman and Nicobar,2019,1,2019Q1,17,0,0,
Nicobar Islands,Andaman and Nicobar,2019,2,2019Q2,18,0,0,
Nicobar Islands,Andaman and Nicobar,2019,3,2019Q3,19,0,0,
Nicobar Islands,Andaman and Nicobar,2019,4,2019Q4,20,0,0,
Nicobar Islands,Andaman and Nicobar,2020,1,2020Q1,21,0,0,
Nicobar Islands,Andaman and Nicobar,2020,2,2020Q2,22,0,0,
Nicobar Islands,Andaman and Nicobar,2020,3,2020Q3,23,0,0,
Nicobar Islands,Andaman and Nicobar,2020,4,2020Q4,24,0,0,
Nicobar Islands,Andaman and Nicobar,2021,1,2021Q1,25,0,0,
Nicobar Islands,Andaman and Nicobar,2021,2,2021Q2,26,0,0,
Nicobar Islands,Andaman and Nicobar,2021,3,2021Q3,27,0,0,
Nicobar Islands,Andaman and Nicobar,2021,4,2021Q4,28,0,0,
Nicobar Islands,Andaman and Nicobar,2022,1,2022Q1,29,0,0,
Nicobar Islands,Andaman and Nicobar,2022,2,2022Q2,30,0,0,
Nicobar Islands,Andaman and Nicobar,2022,3,2022Q3,31,0,0,
Nicobar Islands,Andaman and Nicobar,2022,4,2022Q4,32,0,0,
Nicobar Islands,Andaman and Nicobar,2023,1,2023Q1,33,0,0,
Nicobar Islands,Andaman and Nicobar,2023,2,2023Q2,34,0,0,
Nicobar Islands,Andaman and Nicobar,2023,3,2023Q3,35,0,0,
Nicobar Islands,Andaman and Nicobar,2023,4,2023Q4,36,0,0,
Nicobar Islands,Andaman and Nicobar,2024,1,2024Q1,37,0,0,
Nicobar Islands,Andaman and Nicobar,2024,2,2024Q2,38,0,0,
Nicobar Islands,Andaman and Nicobar,2024,3,2024Q3,39,0,0,
Nicobar Islands,Andaman and Nicobar,2024,4,2024Q4,40,0,0,
North and Middle Andaman,Andaman and Nicobar,2015,1,2015Q1,1,0,0,318.9283
North and Middle Andaman,Andaman and Nicobar,2015,2,2015Q2,2,0,0,329.8112
North and Middle Andaman,Andaman and Nicobar,2015,3,2015Q3,3,0,0,329.2983
North and Middle Andaman,Andaman and Nicobar,2015,4,2015Q4,4,0,0,340.902
North and Middle Andaman,Andaman and Nicobar,2016,1,2016Q1,5,0,0,353.3823
North and Middle Andaman,Andaman and Nicobar,2016,2,2016Q2,6,0,0,355.4295
North and Middle Andaman,Andaman and Nicobar,2016,3,2016Q3,7,0,0,
North and Middle Andaman,Andaman and Nicobar,2016,4,2016Q4,8,0,0,
North and Middle Andaman,Andaman and Nicobar,2017,1,2017Q1,9,0,0,
North and Middle Andaman,Andaman and Nicobar,2017,2,2017Q2,10,0,0,452.6393
North and Middle Andaman,Andaman and Nicobar,2017,3,2017Q3,11,0,0,480.3405
North and Middle Andaman,Andaman and Nicobar,2017,4,2017Q4,12,0,0,503.1417
North and Middle Andaman,Andaman and Nicobar,2018,1,2018Q1,13,0,0,522.7142
North and Middle Andaman,Andaman and Nicobar,2018,2,2018Q2,14,0,0,540.9631
North and Middle Andaman,Andaman and Nicobar,2018,3,2018Q3,15,0,0,562.9761
North and Middle Andaman,Andaman and Nicobar,2018,4,2018Q4,16,0,0,582.8813
North and Middle Andaman,Andaman and Nicobar,2019,1,2019Q1,17,0,0,573.6566
